[2026-04-23 15:23:16] Starting async crawl...
[2026-04-23 15:23:16] Input file: /home/buiphamhoaithanh/processed_data/distinct_products.json
[2026-04-23 15:23:16] Concurrency=2, Batch size=5, Retries=0, Timeout(total/connect/read)=10/5/5
[2026-04-23 15:23:47] Batch 8: total=5, success=4, error=1, time=3.59s
[2026-04-23 15:23:49] RUNNING batch=9 size=5
[2026-04-23 15:23:49] QUEUE product_id=103149 retry=0
[2026-04-23 15:23:49] ACQUIRED product_id=103149 retry=0
[2026-04-23 15:23:49] QUEUE product_id=108850 retry=0
[2026-04-23 15:23:49] ACQUIRED product_id=108850 retry=0
[2026-04-23 15:23:49] QUEUE product_id=98369 retry=0
[2026-04-23 15:23:49] QUEUE product_id=102484 retry=0
[2026-04-23 15:23:49] QUEUE product_id=101312 retry=0
[2026-04-23 15:23:49] STATUS product_id=103149 status=403
[2026-04-23 15:23:49] ACQUIRED product_id=98369 retry=0
[2026-04-23 15:23:50] STATUS product_id=98369 status=200
[2026-04-23 15:23:50] ACQUIRED product_id=102484 retry=0
[2026-04-23 15:23:51] STATUS product_id=108850 status=200
[2026-04-23 15:23:51] ACQUIRED product_id=101312 retry=0
[2026-04-23 15:23:51] STATUS product_id=101312 status=403
[2026-04-23 15:23:52] STATUS product_id=102484 status=200
[2026-04-23 15:23:52] Batch 9: total=5, success=3, error=2, time=2.94s
[2026-04-23 15:23:53] RUNNING batch=10 size=5
[2026-04-23 15:23:53] QUEUE product_id=84879 retry=0
[2026-04-23 15:23:53] ACQUIRED product_id=84879 retry=0
[2026-04-23 15:23:53] QUEUE product_id=110387 retry=0
[2026-04-23 15:23:53] ACQUIRED product_id=110387 retry=0
[2026-04-23 15:23:53] QUEUE product_id=89602 retry=0
[2026-04-23 15:23:53] QUEUE product_id=84776 retry=0
[2026-04-23 15:23:53] QUEUE product_id=106239 retry=0
[2026-04-23 15:23:53] STATUS product_id=110387 status=403
[2026-04-23 15:23:53] ACQUIRED product_id=89602 retry=0
[2026-04-23 15:23:53] STATUS product_id=89602 status=403
[2026-04-23 15:23:53] ACQUIRED product_id=84776 retry=0
[2026-04-23 15:23:53] STATUS product_id=84879 status=403
[2026-04-23 15:23:53] ACQUIRED product_id=106239 retry=0
[2026-04-23 15:23:55] STATUS product_id=106239 status=200
[2026-04-23 15:23:57] STATUS product_id=84776 status=200
[2026-04-23 15:23:57] Batch 10: total=5, success=2, error=3, time=3.99s
[2026-04-23 15:23:59] RUNNING batch=11 size=5
[2026-04-23 15:23:59] QUEUE product_id=98787 retry=0
[2026-04-23 15:23:59] ACQUIRED product_id=98787 retry=0
[2026-04-23 15:23:59] QUEUE product_id=104172 retry=0
[2026-04-23 15:23:59] ACQUIRED product_id=104172 retry=0
[2026-04-23 15:23:59] QUEUE product_id=90419 retry=0
[2026-04-23 15:23:59] QUEUE product_id=109652 retry=0
[2026-04-23 15:23:59] QUEUE product_id=102106 retry=0
[2026-04-23 15:23:59] STATUS product_id=104172 status=404
[2026-04-23 15:23:59] ACQUIRED product_id=90419 retry=0
[2026-04-23 15:24:00] STATUS product_id=90419 status=403
[2026-04-23 15:24:00] ACQUIRED product_id=109652 retry=0
[2026-04-23 15:24:00] STATUS product_id=98787 status=200
[2026-04-23 15:24:00] ACQUIRED product_id=102106 retry=0
[2026-04-23 15:24:01] STATUS product_id=109652 status=200
[2026-04-23 15:24:02] STATUS product_id=102106 status=200
[2026-04-23 15:24:02] Batch 11: total=5, success=3, error=2, time=3.34s
[2026-04-23 15:24:03] RUNNING batch=12 size=5
[2026-04-23 15:24:03] QUEUE product_id=101332 retry=0
[2026-04-23 15:24:03] ACQUIRED product_id=101332 retry=0
[2026-04-23 15:24:03] QUEUE product_id=93240 retry=0
[2026-04-23 15:24:03] ACQUIRED product_id=93240 retry=0
[2026-04-23 15:24:03] QUEUE product_id=96049 retry=0
[2026-04-23 15:24:03] QUEUE product_id=89592 retry=0
[2026-04-23 15:24:03] QUEUE product_id=89607 retry=0
[2026-04-23 15:24:03] STATUS product_id=101332 status=403
[2026-04-23 15:24:03] ACQUIRED product_id=96049 retry=0
[2026-04-23 15:24:05] STATUS product_id=96049 status=200
[2026-04-23 15:24:05] ACQUIRED product_id=89592 retry=0
[2026-04-23 15:24:05] STATUS product_id=93240 status=200
[2026-04-23 15:24:05] ACQUIRED product_id=89607 retry=0
[2026-04-23 15:24:05] STATUS product_id=89592 status=403
[2026-04-23 15:24:06] STATUS product_id=89607 status=200
[2026-04-23 15:24:06] Batch 12: total=5, success=3, error=2, time=2.81s
[2026-04-23 15:24:07] RUNNING batch=13 size=5
[2026-04-23 15:24:07] QUEUE product_id=90475 retry=0
[2026-04-23 15:24:07] ACQUIRED product_id=90475 retry=0
[2026-04-23 15:24:07] QUEUE product_id=89454 retry=0
[2026-04-23 15:24:07] ACQUIRED product_id=89454 retry=0
[2026-04-23 15:24:07] QUEUE product_id=110560 retry=0
[2026-04-23 15:24:07] QUEUE product_id=102509 retry=0
[2026-04-23 15:24:07] QUEUE product_id=102002 retry=0
[2026-04-23 15:24:07] STATUS product_id=90475 status=403
[2026-04-23 15:24:07] ACQUIRED product_id=110560 retry=0
[2026-04-23 15:24:07] STATUS product_id=89454 status=403
[2026-04-23 15:24:07] ACQUIRED product_id=102509 retry=0
[2026-04-23 15:24:07] STATUS product_id=102509 status=403
[2026-04-23 15:24:07] ACQUIRED product_id=102002 retry=0
[2026-04-23 15:24:08] STATUS product_id=110560 status=200
[2026-04-23 15:24:08] STATUS product_id=102002 status=404
[2026-04-23 15:24:08] Batch 13: total=5, success=1, error=4, time=1.03s
[2026-04-23 15:24:09] RUNNING batch=14 size=5
[2026-04-23 15:24:09] QUEUE product_id=100932 retry=0
[2026-04-23 15:24:09] ACQUIRED product_id=100932 retry=0
[2026-04-23 15:24:09] QUEUE product_id=85809 retry=0
[2026-04-23 15:24:09] ACQUIRED product_id=85809 retry=0
[2026-04-23 15:24:09] QUEUE product_id=90183 retry=0
[2026-04-23 15:24:09] QUEUE product_id=96459 retry=0
[2026-04-23 15:24:09] QUEUE product_id=109726 retry=0
[2026-04-23 15:24:11] STATUS product_id=100932 status=200
